City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,esquel,-42.9,-71.3167,49.62,79,100,10.45,AR,1701285314
148,mbeni,-11.5014,43.3775,75.76,77,5,5.1,KM,1701285314
149,quepos,9.4236,-84.1652,83.75,73,35,5.32,CR,1701285315
150,punta arenas,-53.15,-70.9167,51.12,43,100,15.99,CL,1701285076
151,boa vista,2.8197,-60.6733,93.18,38,40,14.97,BR,1701285226
152,shar'ya,58.3686,45.5144,12.97,98,80,3.0,RU,1701285315
153,vorkuta,67.5,64.0,17.91,97,100,4.65,RU,1701285048
154,darnah,32.767,22.6367,66.33,41,100,18.34,LY,1701285316
155,menongue,-14.6585,17.691,69.84,74,100,4.99,AO,1701285316
156,saldanha,-33.0117,17.9442,64.45,82,62,14.27,ZA,1701285317
157,ts'nori,41.6209,45.9694,43.86,43,100,5.84,GE,1701285317
158,iqaluit,63.7506,-68.5145,37.13,74,100,19.57,CA,1701285317
159,yebaishou,41.3975,119.6408,11.79,48,0,4.27,CN,1701285318
160,makushino,55.2103,67.2442,27.28,89,100,8.03,RU,1701285318
161,surskoye,54.4821,46.7214,11.1,97,100,3.91,RU,1701285318
162,wakkanai,45.4094,141.6739,24.1,79,100,11.01,JP,1701285319
163,ulladulla,-35.35,150.4667,62.76,88,79,5.44,AU,1701285319
164,lihue,21.9789,-159.3672,71.74,90,100,8.05,US,1701285319
165,barrancabermeja,7.0653,-73.8547,93.52,52,20,2.3,CO,1701285320
166,mount gambier,-37.8333,140.7667,57.65,76,100,11.52,AU,1701285320
167,cockburn town,21.4612,-71.1419,80.28,76,42,10.98,TC,1701285320
168,ambon,-3.6954,128.1814,75.34,94,40,4.61,ID,1701285321
169,fort st. john,56.2499,-120.8529,30.09,51,20,6.91,CA,1701285287
170,nuriootpa,-34.4833,139.0,58.55,92,56,9.64,AU,1701285321
171,belo sur tsiribihina,-19.7,44.55,78.17,87,1,2.35,MG,1701285321
172,richards bay,-28.783,32.0377,71.26,59,100,16.13,ZA,1701285103
173,sos'va,59.1766,61.8558,22.05,99,100,3.0,RU,1701285322
174,la libertad,-2.2333,-80.9,78.46,73,75,9.22,EC,1701285322
175,tindouf,27.6711,-8.1474,66.65,26,0,6.91,DZ,1701285323
176,kirakira,-10.4544,161.9205,79.74,87,100,7.74,SB,1701285323
177,chimore,-16.9833,-65.1333,79.7,93,100,3.65,BO,1701285323
178,kuqa,41.7278,82.9364,36.46,44,94,5.3,CN,1701285324
179,plettenberg bay,-34.0527,23.3716,63.32,77,5,15.03,ZA,1701285324
180,kandiari,26.9156,68.5216,68.43,37,0,4.03,PK,1701285324
181,egilsstadir,65.2653,-14.3948,33.71,86,100,5.75,IS,1701285324
182,remire-montjoly,4.9167,-52.2667,86.04,70,100,14.97,GF,1701285325
183,demopolis,32.5176,-87.8364,58.95,33,0,3.44,US,1701285302
184,ancud,-41.8697,-73.8203,52.79,93,100,14.45,CL,1701285325
185,poyang,28.9924,116.6675,52.02,69,83,16.28,CN,1701285326
186,olyokminsk,60.3736,120.4264,6.31,92,100,13.35,RU,1701285326
187,karungdong,5.8844,121.263,80.11,84,100,4.5,PH,1701285326
188,tulagi,-9.0996,160.1476,81.77,80,92,13.09,SB,1701285326
189,buala,-8.145,159.5921,80.06,86,82,3.98,SB,1701285327
